"ToyDescription","BrandId","SalesPrice","PurchasePrice","VendorName","VendorId"
"Nerf N-Strike Elite Rhino-Fire Blaster",25850,97.98,66.21,"Hasbro",24967
"Marvel Avengers Assemble Titan Hero Series Thor Figure",25605,10.99,7.63,"Hasbro",24967
"STAR WARS MILLENNIUM FALCON",75658,149.99,100.7,"Hasbro",24967
"RUBIK'S Race Game",42306,14.99,10.1,"Hasbro",24967
"Play-Doh Animal Tools Set",56345,7.99,5.41,"Hasbro",24967
"Avengers Hero Series one",72861,9.99,6.78,"Hasbro",24967
"Star Wars Duel Action Jedi Lightsaber",55540,49.99,35.08,"Hasbro",24967
"Nerf Modulus Distance Scope Upgrade",51039,12.83,8.61,"Hasbro",24967
"My Little Pony Friendship is Magic: Adventures in the Crystal Empire DVD",59251,6.95,4.88,"Hasbro",24967
"Transformers Age of Extinction Galvatron One-Step Changer",20686,10.99,7.57,"Hasbro",24967
"BARREL OF MONKEYS Game",13009,9.99,6.89,"Hasbro",24967
"Star Wars The Black Series Sandtrooper Figure",97953,49.31,34.54,"Hasbro",24967
"OPERATION Silly Skill Game Funatomy Parts",67194,19.99,13.47,"Hasbro",24967
"My Little Pony Friendship is Magic: Princess Twilight Sparkle DVD",51388,6.97,4.8,"Hasbro",24967
"Nerf N-Strike Modulus ECS-10 Blaster",70111,49.99,33.76,"Hasbro",24967
"CLUE The Classic Mystery Game",42550,12.99,9.25,"Hasbro",24967
"Baby Alive Yummy Treat Baby Blonde Doll",58114,6.7,4.47,"Hasbro",24967
"My Little Pony Rarity",29600,9.99,6.89,"Hasbro",24967
"Transformers Generations Leader Class Megatron Figure",90691,37.99,26.51,"Hasbro",24967
"FurReal Friends Walkin' Puppies Biscuit Toy",52755,26.99,18.29,"Hasbro",24967
"Baby Alive Super Snacks Treat Time Snack Pack Blonde",52504,6.7,4.73,"Hasbro",24967
"Transformers Robots in Disguise Titan Changers Bumblebee Figure",32335,16.99,11.6,"Hasbro",24967
"Playskool Heroes Transformers Rescue Bots Blurr Figure",71659,17.99,12.29,"Hasbro",24967
"Littlest Pet Shop Playset",28288,24.99,17.73,"Hasbro",24967
"PLAY-DOH 24-Pack of Colors",92456,20.99,14,"Hasbro",24967
"Nerf Zombie Strike Refill Pack",5358,7.19,4.9,"Hasbro",24967
"Playskool Heroes Marvel Super Hero Adventures Spider-Man Water Web Shooter and Bath",64354,11.99,8.51,"Hasbro",24967
"Nerf Rebelle The Divergent Series Allegiant Refill Pack",24166,8.99,6.4,"Hasbro",24967
"Playskool Heroes Transformers Rescue Bots",44724,34.99,24.56,"Hasbro",24967
"Nerf Super Soaker Freezefire Blaster",38528,11.99,8.25,"Hasbro",24967
"Marvel Super Hero Mashers Hulk SMASH-DOZER Vehicle and Figure",23567,14.99,10.54,"Hasbro",24967
"Marvel Ultimate Spider-Man Ultimate Spider-Man Mask",78543,10.99,7.42,"Hasbro",24967
"Marvel Iron Man 3 Avengers Initiative Arc Strike Iron Man Figure",13130,12.99,9.1,"Hasbro",24967
"Nerf N-Strike Mega BigShock Blaster",19020,10.99,7.43,"Hasbro",24967
"MONOPOLY Disney Edition",28308,76.99,54.86,"Hasbro",24967
"Marvel Avengers Titan Hero Series Thor Figure",52468,5.44,3.75,"Hasbro",24967
"Transformers Robots in Disguise Legion Class Clampdown Figure",42958,8.99,6.24,"Hasbro",24967
"Nerf N-Strike Elite Mega Dart Refill Pack",25557,11.99,8.19,"Hasbro",24967
"Baby Alive Super Snacks Snackin' Lily Blonde",33785,19.99,13.72,"Hasbro",24967
"TRANSFORMERS RESCUE BOTS PLAYSKOOL HEROES BLADES THE COPTER-BOT",16143,22.29,15.82,"Hasbro",24967
"Nerf N-Strike Elite Mega Lightning Bow",41235,19.99,13.86,"Hasbro",24967
"Monopoly Here and Now",15484,9.05,6.08,"Hasbro",24967
"""FurReal Friends JJ",67714,39.99,27.85,"Hasbro",24967
"MARVEL Super Hero Adventures PLAYSKOOL HEROES SMASH MOBILE Vehicle with HULK Figure",98839,14.99,10.63,"Hasbro",24967
"THOR The Mighty Avenger Battle Hammer THOR",53806,16.39,11.44,"Hasbro",24967
"Nerf Modulus Targeting Scope",8181,7.99,5.48,"Hasbro",24967
"Star Wars The Clone Wars Captain Rex",97997,14.89,10.38,"Hasbro",24967
"PLAY-DOH SUPER TOOLS Playset",25029,14.75,10.21,"Hasbro",24967
"ANGRY BIRDS STAR WARS Early ANGRY BIRDS Package",4419,10.99,7.33,"Hasbro",24967
"MARVEL THE AVENGERS CAPTAIN AMERICA Role Play Value Pack 1",78547,8.73,6.2,"Hasbro",24967
"Angry Birds Transformers Soundwave Pig Figure",9423,59.99,41.17,"Hasbro",24967
"Jurassic World Chomping Tyrannosaurus Rex Action Figure",83996,21.99,15.11,"Hasbro",24967
"Nerf N-Strike Elite Mega Magnus Blaster",71898,14.99,10.6,"Hasbro",24967
"Trivial Pursuit Family Edition",18173,16.99,11.66,"Hasbro",24967
"Star Wars Luke Skywalker Figure",72351,7.99,5.4,"Hasbro",24967
"Disney Descendants Head Hints Game",31762,14.99,10.14,"Hasbro",24967
"My Little Pony Equestria Girls Twilight Sparkle Doll and Pony Set",4173,11.99,8.46,"Hasbro",24967
"Spider-Man Spider Sense Spider-Man",98617,24.95,17.03,"Hasbro",24967
"Play-Doh Sweet Shoppe Cookie Creations",55986,10.99,7.42,"Hasbro",24967
"Jurassic World Stomp and Strike Tyrannosaurus Rex Figure",86725,34.99,23.38,"Hasbro",24967
"My Little Pony Equestria Girls Singing Twilight Sparkle Doll",94458,26.99,18.17,"Hasbro",24967
"Marvel Iron Man Mask",84172,99.99,68.73,"Hasbro",24967
"Nerf Modulus Drop Grip",59510,6.99,4.81,"Hasbro",24967
"Star Wars The Black Series 6 Inch Chewbacca",41548,22.99,15.64,"Hasbro",24967
"Nerf N-Strike Elite RapidStrike CS-18 Blaster",32617,109.99,77.62,"Hasbro",24967
"Jurassic World Bashers & Biters Indominus Rex",72073,10.99,7.66,"Hasbro",24967
"Marvel Legends Infinite Series Savage Force Chameleon",12836,21.99,15.42,"Hasbro",24967
"TRANSFORMERS RESCUE BOTS PLAYSKOOL HEROES BOULDER THE CONSTRUCTION-BOT",23152,14.99,10.09,"Hasbro",24967
"NERF FIREVISION Sports Frames (Green)",2067,9.99,6.78,"Hasbro",24967
"My Little Pony Equestria Girls Minis Rainbow Dash Doll",71199,9.88,6.71,"Hasbro",24967
"Marvel Spider-Man Titan Hero Series Spider-Man Figure",17803,24.99,17.78,"Hasbro",24967
"Memory Game Despicable Me Edition",37046,9.99,7.1,"Hasbro",24967
"Silver Cat with White Mitts",49154,99.99,68.8,"Hasbro",24967
"Nerf N-Strike Elite CrossBolt Blaster",6540,24.99,17.14,"Hasbro",24967
"DON'T SPILL THE BEANS Game",3520,12.99,8.74,"Hasbro",24967
"Transformers Age of Extinction Generations Deluxe Class Lockdown Figure",15060,16.99,11.97,"Hasbro",24967
"NERF N-STRIKE Bandolier Kit",13158,19.99,14.05,"Hasbro",24967
"Marvel Ultimate Iron Spider Web Warriors Web Slingers Iron Spider Figure",48724,21.99,15.36,"Hasbro",24967
"Playskool Friends My Little Pony Figure Collector Pack",3234,19.99,13.59,"Hasbro",24967
"Playskool Heroes Marvel Super Hero Adventures Captain America Figure",19436,10.98,7.63,"Hasbro",24967
"My Little Pony Pinkie Pie Figure with Chicken Costume",61861,5,3.42,"Hasbro",24967
"Marvel Iron Man 3 ARC FX Mission Mask",30910,27.99,19.73,"Hasbro",24967
"Littlest Pet Shop Surprise Families Mini Pet Pack (Calicos)",73435,10.99,7.83,"Hasbro",24967
"Nerf Rebelle Messenger Blaster",35049,15.99,11.31,"Hasbro",24967
"Star Wars The Black Series Jawa Figure",21595,14.99,10.02,"Hasbro",24967
"Rubik's Cube Game",95088,13.77,9.73,"Hasbro",24967
"Marvel Captain America: Civil War Captain America Mask",34710,11.99,8.29,"Hasbro",24967
"Marvel Avengers Titan Hero Series Iron Man Figure",28878,9.99,7.03,"Hasbro",24967
"BEYBLADE METAL MASTERS PERFORMANCE TOP SYSTEM BURN WOLF Top",36407,19.18,13.56,"Hasbro",24967
"Play-Doh Super Color Pack",14561,16.99,11.89,"Hasbro",24967
"Marvel Ultimate Spider-Man Ultimate Spider-Man Figure",48000,8.81,5.98,"Hasbro",24967
"Disney Descendants Auradon Signature Lonnie",86363,21.99,14.76,"Hasbro",24967
"Star Wars A New Hope Darth Vader Lightsaber",7351,21.99,15.39,"Hasbro",24967
"GUESSTURES",95378,16.99,11.4,"Hasbro",24967
"Nerf Rebelle Secrets and Spies Secret Shot Purple",6263,24.99,17.75,"Hasbro",24967
"Star Wars The Force Awakens First Order Stormtrooper Mask",222,9.99,6.7,"Hasbro",24967
"Transformers Generations Deluxe Class Nightbeat Figure",49430,16.99,11.71,"Hasbro",24967
"PLAYSKOOL SESAME STREET Rockin' Numbers Ernie",57818,22.99,15.71,"Hasbro",24967
"Marvel Titan Hero Series Iron Man",26265,9.87,6.96,"Hasbro",24967
"Pie Face Game",56072,13.39,9.44,"Hasbro",24967
"PLAY-DOH Mega Pack",27082,24.99,17.3,"Hasbro",24967
"Marvel Legends Series: Edge of Spider-Verse: Spider-Gwen",78006,21.5,15.34,"Hasbro",24967
"Playskool Heroes Star Wars Galactic Heroes Speeder Bike and Scout Trooper",30759,10.99,7.74,"Hasbro",24967
"""Playskool Rock",64485,39.99,27.93,"Hasbro",24967
"NERF DART TAG VISION GEAR (White)",28624,2.75,1.9,"Hasbro",24967
"My Little Pony: Equestria Girls DVD",40370,14.99,10.48,"Hasbro",24967
"MARVEL THE AVENGERS Gamma Green Smash Fists",72254,21.99,15.16,"Hasbro",24967
"Star Wars A New Hope Darth Vader Extendable Lightsaber",45134,11.99,8.18,"Hasbro",24967
"MONOPOLY 80TH ANNIVERSARY EDITION",22433,21.99,14.94,"Hasbro",24967
"GUESS WHO? Game",46998,17.99,12.34,"Hasbro",24967
"Marvel Ultimate Spider-Man Zoom 'N Go 4x4 Racer Vehicle",56899,11.99,8.37,"Hasbro",24967
"NERF N-STRIKE ELITE Tactical Vest Kit",80680,29.99,20.14,"Hasbro",24967
"Star Wars The Force Awakens Rey's Lightsaber",94024,50.85,35.29,"Hasbro",24967
"Memory Game Despicable Me Edition",24886,9.99,6.88,"Hasbro",24967
"The Game of Life Fame Edition",67032,24.99,17.64,"Hasbro",24967
"Star Wars Darth Vader Electronic Lightsaber",84178,21.99,15.65,"Hasbro",24967
"Star Wars The Empire Strikes Back Luke Skywalker Lightsaber",2502,21.99,14.84,"Hasbro",24967
"Mousetrap: Game Supply Pack",5239,21.99,15.3,"Hasbro",24967
"New Furby Boom (Pink and Blue Hearts)",31156,64.99,44.79,"Hasbro",24967
"Star Wars The Force Awakens 12-inch First Order Stormtrooper",89479,12.99,8.83,"Hasbro",24967
"STAR WARS Jedi Force PLAYSKOOL HEROES R2-D2 & C-3PO",21997,14.99,10.37,"Hasbro",24967
"Marvel Ultimate Spider-Man Titan Hero Series Spider-Man 2099 Figure",61098,12.99,9.09,"Hasbro",24967
"PLAY-DOH Sweet Shoppe FROSTING FUN BAKERY Playset",75722,14.99,10.62,"Hasbro",24967
"ANGRY BIRDS STAR WARS JENGA TATOOINE Battle Game",83121,49.99,34.24,"Hasbro",24967
"THE GAME OF LIFE",85320,14.09,9.76,"Hasbro",24967
"Transformers Robots in Disguise Warrior Class Bumblebee Figure",89363,15.99,11.17,"Hasbro",24967
"Playskool Transformers Rescue Bots Heatwave the Fire-Bot Figure",24194,14.99,10.49,"Hasbro",24967
"Star Wars The Black Series 6-Inch Rey (Jakku) and BB-8",66188,16.06,11.12,"Hasbro",24967
"Transformers Robots in Disguise Decepticon Hunter Sword Toy",72338,49.99,35.56,"Hasbro",24967
"Disney Princess Little Kingdom Royal Sparkle Collection",23003,17.38,11.59,"Hasbro",24967
"Marvel Legends Infinite Series Bulldozer",2804,19.37,13.29,"Hasbro",24967
"NERF PRO GRIP Mini Football",22903,8.99,6.22,"Hasbro",24967
"Spider-Man Vulture",99584,17.66,12.41,"Hasbro",24967
"Playskool Transformers Rescue Bots Chase the Rescue Dinobot Figure",11877,21.99,15.56,"Hasbro",24967
"Nerf Super Soaker Squall Surge",22808,14.99,10.06,"Hasbro",24967
"Play-Doh 4-Pack of Bright Colors",6521,29.95,20.58,"Hasbro",24967
"Marvel Titan Hero Series Ant-Man",49399,29.99,20.91,"Hasbro",24967
"Marvel Avengers Age of Ultron Titan Hero Tech Thor",37725,19.19,12.99,"Hasbro",24967
"Playskool Transformers Rescue Bots Chase the Police-Bot Figure",1232,9.99,6.77,"Hasbro",24967
"STAR WARS THE CLONE WARS ANAKIN SKYWALKER",25400,3,2.1,"Hasbro",24967
"Playskool Mr. Potato Head Marvel Mixable Mashable Heroes as Spider-Man and Doc Ock Set",36369,9.99,6.76,"Hasbro",24967
"THOR The Mighty Avenger THOR",18736,24.99,17.81,"Hasbro",24967
"PLAY-DOH DOCTOR DRILL 'N FILL Playset",32835,14.99,10.35,"Hasbro",24967
"Star Wars The Force Awakens Kylo Ren Mask",34066,42.49,28.83,"Hasbro",24967
"Star Wars The Black Series 6-Inch Kylo Ren",62811,9.99,6.79,"Hasbro",24967
"My Little Pony Cutie Mark Magic Friendship Charm Wings Fluttershy Figure",5425,11.99,8.42,"Hasbro",24967
"Playskool Showcam Pink",89936,59.99,40.96,"Hasbro",24967
"Playskool Sesame Street Play All Day Elmo",70319,59.99,40.34,"Hasbro",24967
"PLAY-DOH Mickey Mouse Clubhouse Set (Minnie)",6913,8.99,6.19,"Hasbro",24967
"Star Wars Rebels Black Series Titanium Series The Ghost",45154,12.99,9.06,"Hasbro",24967
"My Little Pony Chutes and Ladders Game",23559,19.99,14.12,"Hasbro",24967
"Guess Who? Game",74225,17.99,12.08,"Hasbro",24967
"Star Wars The Black Series Clone Trooper Captain Figure",60585,22.99,16.03,"Hasbro",24967
"MARVEL THE AVENGERS THOR Hero Helmet",60340,19.95,14.15,"Hasbro",24967
"Star Wars Imperial AT-AT All Terrain Armored Transport",91304,490,331.11,"Hasbro",24967
"TRANSFORMERS RESCUE BOTS PLAYSKOOL HEROES OPTIMUS PRIME",2814,14.99,10.3,"Hasbro",24967
"Transformers Age of Extinction Galvatron Power Attacker",69702,14.99,10.36,"Hasbro",24967
"Playskool Heroes Galactic Heroes Star Wars Darth Vader",47478,8.99,6.05,"Hasbro",24967
"R2D2 is in TROUBLE Star Wars Game",32217,17.99,12.52,"Hasbro",24967
"FurReal Friends Walkin' Puppies PomPom Poodle Toy",15989,26.99,18.98,"Hasbro",24967
"NERF VORTEX TECH KIT",15417,9.99,6.96,"Hasbro",24967
"Jurassic World Hero Mashers Triceratops Figure",76199,16.99,11.75,"Hasbro",24967
"Littlest Pet Shop Surprise Families Mini Pet Pack Pandas",51084,10.99,7.35,"Hasbro",24967
"Cranium Game",55455,32.95,22.42,"Hasbro",24967
"Marvel Spider-Man Titan Hero Series Electro Figure",91014,9.99,6.78,"Hasbro",24967
"STAR WARS REPUBLIC FIGHTER TANK Vehicle",27813,24.99,17.82,"Hasbro",24967
"Play-Doh Ice Cream Sundae Cart Playset",42559,12.99,9.14,"Hasbro",24967
"Star Wars The Force Awakens 3.75-inch Vehicle Assault Walker",86856,21.99,14.71,"Hasbro",24967
"Nerf Zombie Strike Doublestrike Blaster",47864,9.97,7.06,"Hasbro",24967
"Marvel Ultimate Spider-Man Web Warriors Iron Spider Color Shock Slinger",69218,21.99,15.46,"Hasbro",24967
"Disney Frozen Little Kingdom Frozen Friendship Collection",74501,18.5,12.98,"Hasbro",24967
"Playskool Heroes Marvel Super Hero Adventures Captain America Shield Launcher",16806,16.99,11.74,"Hasbro",24967
"TRANSFORMERS PRIME ROBOTS IN DISGUISE - AUTOBOT OPTIMUS PRIME Figure",6541,49.99,35.19,"Hasbro",24967
"Marvel's Wolverine Wolverine Claw Toy",47160,16.99,11.7,"Hasbro",24967
"Playskool Mr. Potato Head Pirate Spud",58549,13.47,9.58,"Hasbro",24967
"Star Wars Episode VII Kylo Ren",64693,17.99,12.4,"Hasbro",24967
"SCRABBLE Game",51408,16.99,11.33,"Hasbro",24967
"Star Wars The Black Series Stormtrooper Figure",27487,21.99,15.2,"Hasbro",24967
"Playskool Heroes Marvel Super Hero Adventures Hulk Figure",91079,11.99,8.01,"Hasbro",24967
"Star Wars The Black Series Stormtrooper Figure",63658,21.99,14.87,"Hasbro",24967
"NERF FIREVISION Sports NERFOOP Set",15692,14.27,9.98,"Hasbro",24967
"Beyblade Metal Fusion: String Launcher",95664,9.95,6.69,"Hasbro",24967
"Transformers Generations Combiner Wars Deluxe Class Mirage Figure",87111,29.99,20.52,"Hasbro",24967
"Transformers Robots in Disguise Legion Class Steeljaw Figure",38773,8.99,6.33,"Hasbro",24967
"Littlest Pet Shop Get the Pets Single Pack Smugs Patton",79570,1.99,1.34,"Hasbro",24967
"Transformers Robots in Disguise 1-Step Changers Patrol Mode Sideswipe Figure",82134,10.99,7.56,"Hasbro",24967
"Yo-kai Watch Converting Komasan-Businessman",91889,2.46,1.68,"Hasbro",24967
"Marvel Avengers Hulk Gamma Grip Fists",86220,21.99,14.86,"Hasbro",24967
"BEYBLADE METAL FURY PERFORMANCE TOP SYSTEM Legendary Bladers Set",6866,49.99,33.99,"Hasbro",24967
"PLAYSKOOL SESAME STREET STEPS TO SCHOOL Ready for School Elmo",23596,34.99,23.58,"Hasbro",24967
"Nerf Rival Zeus MXV-1200 Blaster (Blue)",84210,45.97,32.46,"Hasbro",24967
"Jenga Quake Game",56453,21.99,15.54,"Hasbro",24967
"Marvel Avengers Titan Hero Series Hulk Figure",3399,12.99,8.82,"Hasbro",24967
"Yokai Watch Game Of Life",44349,19.99,13.88,"Hasbro",24967
"My Little Pony Cutie Mark Magic Trixie Lulamoon & Friendship Flutters Figures",82379,11.99,8.01,"Hasbro",24967
"STAR WARS THE CLONE WARS REPUBLIC ATTACK SHUTTLE Vehicle",56479,89.99,63.56,"Hasbro",24967
"TRANSFORMERS RESCUE BOTS PLAYSKOOL HEROES HEATWAVE THE FIRE-BOT",41654,14.99,10.43,"Hasbro",24967
"Nerf Zombie SlingFire",648,49.99,33.94,"Hasbro",24967
"Marvel Titan Hero Series Captain America With Battle Cycle",87650,19.99,13.52,"Hasbro",24967
"Marvel Legends Series CAPTAIN AMERICA Figure",85151,19.99,13.83,"Hasbro",24967
"Marvel Legends Series CAPTAIN AMERICA Figure",74619,19.99,14.09,"Hasbro",24967
"My Little Pony Friendship is Magic Collection Sweet Apple Acres Barn Pack",41646,21.99,15.2,"Hasbro",24967
"Star Wars Rebels Inquisitor Lightsaber",75171,32.99,22.82,"Hasbro",24967
"Disney Princess Pop-Up Magic Cinderella's Coach Game",90988,14.99,10.11,"Hasbro",24967
"My Little Pony Friendship is Magic Rainbow Dash Figure",42640,6.99,4.67,"Hasbro",24967
"CANDY LAND DISNEY PRINCESS Edition",18488,19.99,13.91,"Hasbro",24967
"Marvel Legends Infinite Series Spider-Man Figure",29158,19.99,13.81,"Hasbro",24967
"PLAY-DOH Mickey Mouse Clubhouse Disney MOUSKATOOLS Set",28687,11.99,8.38,"Hasbro",24967
"Operation: Game Supply Pack",87043,8.98,6.26,"Hasbro",24967
"Transformers Rescue Bots: Roll To the Rescue Roll To The Rescue! DVD",12327,5.97,4.19,"Hasbro",24967
"Spider-Man Power Punch Spider-Man",50336,9.99,6.94,"Hasbro",24967
"STAR WARS ANAKIN SKYWALKER LIGHTSABER",8308,9.59,6.6,"Hasbro",24967
"Sorry! 2013 Edition Game",31226,12.99,8.91,"Hasbro",24967
"Playskool Sesame Street Sesame Street Friends Cookie Monster Figure",31181,21.99,14.78,"Hasbro",24967
"ANGRY BIRDS STAR WARS JENGA DEATH STAR Game",94285,29.99,20.67,"Hasbro",24967
"Jenga Boom",36643,17.99,12.34,"Hasbro",24967
"NERF N-STRIKE Suction Darts 16-Pack",28954,5.86,4.12,"Hasbro",24967
"Nerf Rival Apollo XV-700 Blaster (Blue)",23985,30.99,21.65,"Hasbro",24967
"Play-Doh Cake Party",62456,14.99,10.08,"Hasbro",24967
"Disney Princess Royal Shimmer Pocahontas Doll",41442,9.83,6.71,"Hasbro",24967
"Beyblade Samurai Cyclone Battle Set",56668,34.99,24.1,"Hasbro",24967
"Star Wars The Force Awakens 3.75-inch Vehicle Jakku Landspeeder",85586,29.99,21.03,"Hasbro",24967
"Baby Alive Plays and Giggles Baby Doll",10250,21.99,15.14,"Hasbro",24967
"Playskool Heroes Transformers Rescue Bots Deep Water Rescue High Tide",80072,139.88,99.06,"Hasbro",24967
"Nerf Rebelle The Divergent Series Allegiant Six-Shot Blaster",60722,19.99,13.72,"Hasbro",24967
"Scrabble Junior Game",39457,16.99,12.1,"Hasbro",24967
"STAR WARS THE CLONE WARS Battle Packs - ASSAULT ON GEONOSIS Set",44869,22.89,16.16,"Hasbro",24967
"Candy Land Minnie Mouse Game",39696,16.99,11.71,"Hasbro",24967
"Playskool Mr. Potato Head Luke Frywalker",11580,12.99,8.93,"Hasbro",24967
"Scrabble Game",33187,16.99,12.06,"Hasbro",24967
"Marvel Titan Hero Series Thor",23056,5.44,3.84,"Hasbro",24967
"Playskool Sesame Street Talking 123 Cookie Monster Figure",15062,19.99,14.27,"Hasbro",24967
"Nerf Rival 12-Round Magazine",79384,12.99,8.93,"Hasbro",24967
"Playmation Marvel Avengers Ultron Bot Villain Smart Figure",9996,14.99,10.39,"Hasbro",24967
"Nerf N-Strike Blazin' Bow Blaster",13725,33.02,23.11,"Hasbro",24967
"Baby Alive Diapers Pack",50581,9.99,7.07,"Hasbro",24967
"""FurReal Friends Happy to See Me Pets Piper",14629,27.99,19.02,"Hasbro",24967
"Transformers Generations Combiner Wars Deluxe Class Brawl",42007,18.99,13.44,"Hasbro",24967
"Star Wars The Black Series Greedo Figure",28200,49.69,33.76,"Hasbro",24967
"Transformers Construct-Bots Scout Class Cliffjumper Buildable Action Figure",34875,29.9,20.45,"Hasbro",24967
"Play-Doh 4-Pack of Classic Colors",71508,5.99,4.27,"Hasbro",24967
"Star Wars The Clone Wars Clone Trooper Blaster",86334,15.99,11,"Hasbro",24967
"Playskool Heroes Star Wars Millenium Falcon",59073,39.99,27.76,"Hasbro",24967
"Baby Alive Party Baby Brunette Doll",39847,21.99,15.3,"Hasbro",24967
"Marvel Iron Man Armory",40155,15.47,10.67,"Hasbro",24967
"STAR WARS DARTH VADER LIGHTSABER",99664,29.95,20.62,"Hasbro",24967
"Playskool Sesame Street Elmo Guitar",94635,24.99,17.57,"Hasbro",24967
"Playskool Heroes Transformers Rescue Bots Energize Optimus Prime Figure",47308,14.99,10.39,"Hasbro",24967
"Play-Doh Spring Chick Set",20249,4.5,3.16,"Hasbro",24967
"Memory Game",75076,11.95,8.21,"Hasbro",24967
"Transformers Generations Combiner Wars Deluxe Class Protectobot Blades",39206,18.99,13.03,"Hasbro",24967
"Jurassic World Chomping Indominus Rex Figure",64869,34.99,23.57,"Hasbro",24967
"Nerf Rebelle Starring Role Mini Blaster",88959,7.3,4.98,"Hasbro",24967
"Play-Doh Diggin' Rigs Saw Mill Set",8898,24.99,17.52,"Hasbro",24967
"STAR WARS DARTH MAUL DOUBLE-BLADED LIGHTSABER",3221,24.99,16.92,"Hasbro",24967
"Disney Princess Royal Shimmer Tiana Doll",4006,10.71,7.53,"Hasbro",24967
"My Little Pony Equestria Girls Rainbow Rocks Octavia Melody Doll and Pony Set",56973,21.99,15.61,"Hasbro",24967
"Transformers Age of Extinction Optimus Prime Mask",72976,44.99,30.55,"Hasbro",24967
"STAR WARS CAPTAIN REX Blaster",19030,26.4,17.66,"Hasbro",24967
"YAHTZEE Classic",74465,12.99,8.83,"Hasbro",24967
"DISNEY Where's My Water? Game",88155,1.99,1.39,"Hasbro",24967
"Star Wars The Clone Wars Captain Rex Blaster",30532,26.61,18.72,"Hasbro",24967
"Playskool Heroes Super Hero Adventures Captain America Figure Pack",98478,11.99,8,"Hasbro",24967
"Yo-kai Watch Medal Moments Blazion",252,0.99,0.66,"Hasbro",24967
"G.I. Joe Eaglehawk Helicopter",84477,44.99,30.67,"Hasbro",24967
"Playmation Marvel Avengers Iron Man Hero Smart Figure",74397,14.99,10.54,"Hasbro",24967
"G.I. Joe Retaliation Ultimate Storm Shadow Figure",97875,10.99,7.8,"Hasbro",24967
"TRANSFORMERS Generations FALL OF CYBERTRON Series 1 SHOCKWAVE Figure",90754,14.99,10.25,"Hasbro",24967
"SCRABBLE",25638,16.99,11.88,"Hasbro",24967
"Play-Doh Confetti Compound Collection",14535,4.69,3.16,"Hasbro",24967
"Nerf Zombie Strike Sledgefire Blaster",24151,27.99,19.57,"Hasbro",24967
"Marvel Infinite Series Deadpool",70494,12.99,8.76,"Hasbro",24967
"Star Wars The Force Awakens 3.75-Inch Figure Forest Mission Kylo Ren",32435,24.99,16.87,"Hasbro",24967
"My Little Pony Equestria Girls Minis Rarity Doll",12034,8.99,6.36,"Hasbro",24967
"Furby Furbling Creature (Zigzag)",30585,21.99,14.9,"Hasbro",24967
"Star Wars The Force Awakens Micro Machines 3-Pack The First Order Attacks",32621,4.99,3.49,"Hasbro",24967
"Star Wars Stormtrooper Blaster",41851,21.99,15.24,"Hasbro",24967
"My Little Pony Cutie Mark Magic Applejack Figure",65820,9.99,7.09,"Hasbro",24967
"Star Wars Anakin to Darth Vader Color Change Lightsaber Toy",20779,52.16,37.19,"Hasbro",24967
"My Little Pony Cutie Mark Magic Rarity Figure",10235,4.99,3.37,"Hasbro",24967
"Star Wars Guess Who? Game",12527,39.99,27.26,"Hasbro",24967
"Marvel Super Hero Mashers Electronic Wolverine Figure",79006,21.99,14.8,"Hasbro",24967
"Transformers Hero Mashers Megatron Figure",17422,16.99,11.7,"Hasbro",24967
"Nerf Arrow Refill",13517,13.24,8.96,"Hasbro",24967
"OUIJA Game",5831,21.99,15.53,"Hasbro",24967
"Beyblade Shogun Steel BeyWarriors Fire vs. Water Element 2-Pack",28764,21.99,15.55,"Hasbro",24967
"Marvel Spider-Man Titan Hero Series Green Goblin Figure",42610,12.08,8.34,"Hasbro",24967
"Nerf Zombie Strike Dart Refill Pack",5312,6.59,4.54,"Hasbro",24967
"Playskool Sesame Street Sesame Street Friends Elmo Figure",41753,29.99,20.32,"Hasbro",24967
"Playmation Marvel Avengers Hulk Hero Smart Figure",11535,14.99,10.13,"Hasbro",24967
"Playskool Heroes Transformers Rescue Bots Energize Chase the Police-Bot Figure",52358,14.99,10.62,"Hasbro",24967
"STAR WARS DARTH VADER Mask",11078,5.19,3.7,"Hasbro",24967
"Nerf Rebelle Secrets and Spies Secret Shot Pink",22091,21.99,14.99,"Hasbro",24967
"Disney Princess Little Kingdom Rapunzel's Stylin' Tower",78037,21.99,14.7,"Hasbro",24967
"Mr. Potato Head Marvel Classic Scale Tony Stark Iron Man",18358,14.99,10.59,"Hasbro",24967
"Star Wars The Force Awakens Chewbacca Electronic Mask",55014,31.99,22.29,"Hasbro",24967
"BEYBLADE METAL FURY B-150 SCYTHE KRONOS T125EDS Top",39479,34.49,23.5,"Hasbro",24967
"Marvel Guardians of the Galaxy Rocket Raccoon Figure",80763,10.99,7.78,"Hasbro",24967
"STAR WARS THE CLONE WARS ANAKIN SKYWALKER Figure",16065,3,2.06,"Hasbro",24967
"NERF N-STRIKE ELITE FIRESTRIKE Blaster",11161,11.99,8.48,"Hasbro",24967
"Star Wars Rebels Ezra Bridger 12-inch Figure",26808,12.99,8.79,"Hasbro",24967
"Jurassic World Chomping Tyrannosaurus Rex Head Hand Puppet",84236,16.99,11.65,"Hasbro",24967
"Disney Pop-Up Magic Frozen Game",59012,14.99,10.25,"Hasbro",24967
